row,user_input,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,bleu
1,"What are the main characteristics of large-scale crop cultivation, like Coffee f",0.24671916010498687,0.7833333333333333,0.375249500998004,0.12105263157894737,0.3865546218487395,0.18436873747494992,0.15223097112860892,0.48333333333333334,0.2315369261477046,0.05705935839436319
2,"What are the main charactaristics of large-scale crop cultivaton, and how does C",0.2730263157894737,0.6974789915966386,0.392434988179669,0.12211221122112212,0.3135593220338983,0.17577197149643708,0.17763157894736842,0.453781512605042,0.25531914893617025,0.02340041330636099
3,"As an agribusiness managr overseeing large-scale crop producton operations, I ne",0.38380281690140844,0.6526946107784432,0.4833702882483371,0.19081272084805653,0.3253012048192771,0.24053452115812918,0.23943661971830985,0.40718562874251496,0.3015521064301552,0.06372700550972583
4,What maize used for in Africa and how it help farming operations?,0.3333333333333333,0.953125,0.4939271255060729,0.29120879120879123,0.8412698412698413,0.4326530612244899,0.3224043715846995,0.921875,0.47773279352226716,0.15796417549315422
5,"Which countries in world they grow oil palm like Nigeria, I need know for my agr",0.24581005586592178,0.6567164179104478,0.3577235772357723,0.10112359550561797,0.2727272727272727,0.14754098360655735,0.12849162011173185,0.34328358208955223,0.18699186991869918,0.03214770184194127
6,Which countries in world they grow oil palm like Democratic Republic of the Cong,0.20408163265306123,0.6349206349206349,0.30888030888030893,0.09230769230769231,0.2903225806451613,0.14007782101167315,0.11734693877551021,0.36507936507936506,0.1776061776061776,0.021561855353244414
7,"Hey, i is managing big crop production and we often deal with wood materials as ",0.37083333333333335,0.7295081967213115,0.4917127071823205,0.1297071129707113,0.256198347107438,0.1722222222222222,0.175,0.3442622950819672,0.23204419889502761,0.034040122325957795
8,As an agribusiness manager involved in supplying raw materials to manufacturing ,0.2880658436213992,0.8333333333333334,0.4281345565749236,0.18181818181818182,0.5301204819277109,0.27076923076923076,0.18518518518518517,0.5357142857142857,0.2752293577981651,0.12358082576349902
9,"What are the challanges faceing power and enregy harnessing in Tanzannia, and ho",0.22429906542056074,0.75,0.3453237410071942,0.14375,0.4842105263157895,0.22168674698795177,0.17445482866043613,0.5833333333333334,0.2685851318944844,0.07955354494116686
10,Wat are the chalenges of power and enrgy harnessing in Tanznia?,0.19202898550724637,0.7361111111111112,0.3045977011494253,0.12363636363636364,0.4788732394366197,0.19653179190751446,0.16304347826086957,0.625,0.25862068965517243,0.06267599482168892
11,What thing help electronic manufacturing industries grow in South Korea?,0.23346303501945526,0.8450704225352113,0.36585365853658536,0.12890625,0.4714285714285714,0.20245398773006135,0.17509727626459143,0.6338028169014085,0.274390243902439,0.07733099917265002
